"Time"	alkB	ada	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp
800	0.2468293	1.0000000	0.9649279	0.0133230	0.5113376	0.5129642	0.5175495	0.3665343	0.7006000	1.0000000
850	0.2468293	1.0000000	0.9649279	0.0133230	0.5113376	0.5129642	0.5173148	0.3665343	0.7006000	1.0000000
900	0.2468293	1.0000000	0.9649279	0.0133230	0.5113376	0.5129642	0.5172251	0.3665343	0.7006000	1.0000000
950	0.2468293	1.0000000	0.9649279	0.0133230	0.5113376	0.5129642	0.5171908	0.3665343	0.7006000	1.0000000
1000	0.2468293	1.0000000	0.9649279	0.0133230	0.5113376	0.5129642	0.5171778	0.3665343	0.7006000	1.0000000

0	0.2468293	1.0000000	0.9649279	0.0133237	0.5113376	0.5129648	0.5171678	0.3665343	0.7006012	1.0000000
50	0.3405304	0.2844352	0.6365170	0.0046244	0.5113376	0.3145407	0.7382229	0.1673036	0.6607852	1.0000000
100	0.6581739	0.0981193	0.0897959	0.0016813	0.5113376	0.2450434	0.8226696	0.1372213	0.5176036	1.0000000
150	0.8827160	0.0496070	0.0636033	0.0006857	0.5113376	0.2207023	0.8549296	0.1326791	0.3527875	1.0000000
200	0.9641239	0.0369756	0.0629214	0.0003488	0.5113376	0.2121769	0.8672535	0.1319932	0.2399613	1.0000000
250	0.9884765	0.0336867	0.0629041	0.0002349	0.5113376	0.2091910	0.8719614	0.1318897	0.1807012	1.0000000
300	0.9954028	0.0328303	0.0629037	0.0001963	0.5113376	0.2081451	0.8737599	0.1318740	0.1534076	1.0000000
350	0.9973431	0.0326074	0.0629037	0.0001833	0.5113376	0.2077788	0.8744470	0.1318717	0.1416825	1.0000000
400	0.9978832	0.0325493	0.0629037	0.0001789	0.5113376	0.2076506	0.8747094	0.1318713	0.1368439	1.0000000
450	0.9980329	0.0325342	0.0629037	0.0001774	0.5113376	0.2076056	0.8748097	0.1318713	0.1348957	1.0000000
500	0.9980743	0.0325302	0.0629037	0.0001769	0.5113376	0.2075899	0.8748480	0.1318712	0.1341235	1.0000000
550	0.8594148	0.7480940	0.1024239	0.0088756	0.5113376	0.4060081	0.6538087	0.3311019	0.2711681	1.0000000
600	0.5195829	0.9344097	0.7595969	0.0118184	0.5113376	0.4755033	0.5693680	0.3611842	0.4807270	1.0000000
650	0.3450823	0.9829219	0.9347570	0.0128140	0.5113376	0.4998437	0.5371103	0.3657264	0.6013999	1.0000000
700	0.2796251	0.9955533	0.9585551	0.0131508	0.5113376	0.5083688	0.5247873	0.3664123	0.6584013	1.0000000
750	0.2573117	0.9988422	0.9633161	0.0132647	0.5113376	0.5113547	0.5200797	0.3665158	0.6832606	1.0000000
800	0.2500781	0.9996985	0.9645021	0.0133033	0.5113376	0.5124005	0.5182814	0.3665315	0.6936314	1.0000000
850	0.2478126	0.9999215	0.9648150	0.0133163	0.5113376	0.5127668	0.5175944	0.3665338	0.6978399	1.0000000
900	0.2471213	0.9999796	0.9648981	0.0133207	0.5113376	0.5128951	0.5173319	0.3665342	0.6995173	1.0000000
950	0.2469147	0.9999947	0.9649200	0.0133222	0.5113376	0.5129400	0.5172316	0.3665342	0.7001780	1.0000000
1000	0.2468539	0.9999986	0.9649258	0.0133227	0.5113376	0.5129558	0.5171933	0.3665343	0.7004362	1.0000000

0	0.2468293	1.0000000	0.9649279	0.0133237	0.5113376	0.5129648	0.5171678	0.3665343	0.7006012	1.0000000
50	0.2468293	1.0000000	0.9649279	0.0133232	0.3903669	0.4075687	0.5683099	0.3665343	0.7006004	1.0000000
