"Time"	alkB	ada	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp
500	0.2540329	1.0371743	0.9389313	0.0097874	0.3395200	0.3752200	0.6123403	0.3574217	0.7713569	1.0052942
550	0.2626012	0.9923334	0.9933320	0.0086953	0.5196490	0.4396343	0.6168358	0.3500646	0.6637812	0.9704469
600	0.1931268	0.9481916	0.9037139	0.0088951	0.5270579	0.4809402	0.5277720	0.3958604	0.6685541	1.1099941
650	0.2139457	1.0449816	1.0164703	0.0070216	0.4923691	0.5214998	0.5742615	0.3619535	0.6958990	0.9105297
700	0.2512491	1.0329199	1.0583512	0.0137677	0.5317655	0.5305997	0.5380827	0.3945838	0.7069103	0.9791795
750	0.2374683	0.9249345	1.0274489	0.0092110	0.5614309	0.5725807	0.5226995	0.3823235	0.7686028	1.0049366
800	0.2918727	0.9967326	0.9817623	0.0101892	0.5545206	0.5469520	0.5692230	0.3930790	0.7285976	1.0729024
850	0.2704166	1.0095508	1.0587433	0.0121824	0.5221090	0.4926644	0.5508460	0.3388507	0.6557986	1.0433760
900	0.2454717	1.0197694	0.9829565	0.0112080	0.4741358	0.4584911	0.5304385	0.3817270	0.6891039	1.0384134
950	0.2548434	0.9514710	1.0090620	0.0164455	0.4507821	0.4556312	0.5291554	0.3713610	0.6977150	0.9847757
1000	0.2832264	1.0040323	0.9571195	0.0101033	0.5310867	0.5509873	0.5053381	0.3004332	0.6842059	1.0016822

0	0.2273292	1.0334170	1.0859068	0.0134414	0.5608931	0.5873593	0.4683770	0.3981586	0.7639161	1.0559996
50	0.0579844	1.0243654	0.9569854	0.0022837	0.1951861	0.2105609	0.5079872	0.2725852	0.6159710	0.8663284
100	0.0157052	0.9728943	0.9242662	0.0000000	0.1597078	0.1425407	0.4534056	0.2653699	0.6434936	0.8256767
150	0.0020621	0.9856866	0.9604616	0.0003580	0.1179505	0.1353008	0.4222629	0.2964414	0.6100082	0.8118764
200	0.0044452	0.9456084	1.0331040	0.0000000	0.1235190	0.0994719	0.4678710	0.3206783	0.6136570	0.9101999
250	0.0049027	0.8919766	1.0292357	0.0001837	0.1356055	0.0935625	0.3779811	0.3005091	0.6175826	0.8188469
300	0.0054955	1.0291144	0.9392832	0.0019986	0.1490550	0.1235069	0.3791401	0.2410067	0.5907228	0.8374417
350	0.0033887	0.9927927	0.9751150	0.0010319	0.1379885	0.1119683	0.4291139	0.2801769	0.6127267	0.8092256
400	0.0034268	0.9816030	1.0136582	0.0000611	0.1348519	0.1020422	0.4079618	0.2878580	0.6042608	0.8519772
450	0.0053511	0.9840027	0.9267630	0.0006628	0.1248544	0.1363905	0.4459069	0.3072979	0.5553261	0.8366337
500	0.0064031	0.9381840	0.9941981	0.0011328	0.1013777	0.0975483	0.5216003	0.3192446	0.5975127	0.8414233
550	0.1974961	0.9935860	0.9305845	0.0073790	0.4185920	0.4161146	0.5190603	0.3527972	0.6313789	0.9471380
600	0.2102844	1.0095422	0.9616063	0.0098073	0.5404837	0.4493426	0.4310573	0.3843812	0.6875953	1.0332585
650	0.2175240	1.0849459	1.0451514	0.0167636	0.5189549	0.4979543	0.4445339	0.4130431	0.6610170	1.0931284
700	0.2108105	1.0929062	0.9605747	0.0189319	0.5356460	0.5114732	0.4585111	0.3461365	0.6592376	1.0404133
750	0.2461930	1.0231941	1.0321278	0.0193133	0.5656076	0.4694410	0.4719854	0.3292418	0.6796737	1.0265509
800	0.2504888	0.9968416	0.9858320	0.0106662	0.5773788	0.4970992	0.3880559	0.3643459	0.7534036	0.9696106
850	0.2638701	1.0711742	0.9198617	0.0128510	0.5287789	0.5547522	0.4086712	0.4105498	0.7567240	1.0135290
900	0.2613891	0.9931925	1.0858977	0.0103751	0.6032974	0.5518415	0.4779760	0.3709786	0.6631368	0.9400542
950	0.2566578	0.9568394	0.9804609	0.0014050	0.5810516	0.5047524	0.4731844	0.4232953	0.6175157	0.9851087
1000	0.2507107	0.9291679	0.9815926	0.0122528	0.5557381	0.5211609	0.4655736	0.3946806	0.6547655	0.9630421

0	0.2273292	1.0334170	1.0859068	0.0134414	0.5608931	0.5873593	0.4683770	0.3981586	0.7639161	1.0559996
50	0.1320107	1.0245213	0.9270529	0.0036869	0.2302299	0.5673843	0.5222118	0.3276112	0.2981261	0.9463843
100	0.1001236	0.9273815	1.0072737	0.0047437	0.1486806	0.5017872	0.5945818	0.3128717	0.1648070	1.0641701
150	0.1442718	0.9355967	0.8919966	0.0013005	0.1324414	0.4884306	0.5298056	0.3147701	0.0970564	1.0768129
200	0.1057063	0.9261868	0.9093286	0.0011725	0.1503046	0.4347458	0.5304457	0.3241799	0.0625902	1.0321516
250	0.1455386	0.9238584	0.9816456	0.0000156	0.1283366	0.4521149	0.5252669	0.3234857	0.0550687	0.9989763
300	0.1624743	0.9706517	0.9319514	0.0008079	0.1175168	0.5516728	0.5342100	0.4322074	0.0378933	1.1042722
350	0.1485638	1.0167589	0.9879544	0.0011449	0.1532857	0.4791116	0.5409002	0.3729278	0.0528449	0.9905657
400	0.1405541	1.0082524	0.9613800	0.0020570	0.1644374	0.5575460	0.5112881	0.3634970	0.0505091	1.0427643
450	0.1257143	0.9622054	0.9435389	0.0003212	0.1232121	0.5105099	0.5680255	0.3871436	0.0626205	1.0529601
500	0.0796512	0.9386359	0.9996104	0.0002859	0.1756145	0.5093112	0.5364485	0.4129425	0.0416392	0.9919882
550	0.2072550	1.0645369	1.0019281	0.0054691	0.4236000	0.5892810	0.4625456	0.3622186	0.4233155	0.9339437
600	0.2456307	1.0311751	0.9779427	0.0152837	0.4982211	0.5163720	0.5480545	0.3349066	0.6260241	1.0297321
650	0.2913745	1.0840196	0.8997217	0.0210556	0.5358732	0.5130384	0.5799751	0.3672486	0.6550792	1.0538213
700	0.2759194	0.9932009	0.8602399	0.0253417	0.5342641	0.4907356	0.5709154	0.3122095	0.7828171	1.0446624
750	0.2420649	1.0261168	0.7986570	0.0242458	0.4576944	0.4944056	0.5559303	0.3568858	0.7013275	1.1257206
800	0.2708177	1.0467426	1.0358345	0.0137648	0.4578460	0.5286551	0.5136453	0.3854495	0.6596272	0.9394415
850	0.2435833	0.9920456	1.0309204	0.0209934	0.5194797	0.4813280	0.5842225	0.4039005	0.7073546	0.9992271
900	0.2263199	0.9530958	1.0064575	0.0277112	0.4800820	0.4869308	0.5632578	0.3493341	0.6842839	1.0060912
950	0.2226178	0.9894933	0.9430681	0.0167752	0.5039068	0.4737081	0.5792011	0.3357957	0.7194986	1.0429762
1000	0.2405816	0.9985506	0.9371540	0.0193004	0.5287788	0.5039846	0.5839951	0.3115663	0.7141982	1.0330821

0	0.2273292	1.0334170	1.0859068	0.0134414	0.5608931	0.5873593	0.4683770	0.3981586	0.7639161	1.0559996
50	0.2542222	0.9357666	0.9465257	0.0018254	0.5481789	0.1724631	0.8080744	0.3223229	0.5100516	0.8564298
100	0.2678135	0.9404010	0.9049798	0.0008624	0.4750963	0.0513563	0.8011601	0.3490373	0.3824442	0.8730832
150	0.2488653	0.9721253	0.9084655	0.0000699	0.6010355	0.0305445	0.7930185	0.4509355	0.2811118	0.8687723
