"Time"	alkB	ada	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp
0	0.2056242	1.1039552	1.1257863	0.0104747	0.5286506	0.5697073	0.5269512	0.4392992	0.6954606	0.9243886
50	0.2211520	0.9718952	0.9609735	0.0119709	0.3357120	0.5245002	0.5072322	0.3592071	0.5881032	0.9970700
100	0.1087224	0.9104081	0.8614249	0.0120483	0.1701266	0.5168003	0.5316062	0.3502289	0.3078125	1.0006598
150	0.1010293	0.8732330	0.9465807	0.0068684	0.1393641	0.4628943	0.4992508	0.3638891	0.1977198	1.1156770
200	0.1152562	0.9728209	0.8929203	0.0022618	0.0944915	0.5038218	0.5545989	0.3269040	0.1374731	1.0792741
250	0.1313490	0.9709685	1.0161055	0.0002308	0.1376558	0.4281682	0.5142348	0.3662270	0.0879771	1.0207909
300	0.1495574	0.9439579	0.9969674	0.0035708	0.1414289	0.4827916	0.4816511	0.4176866	0.0598616	0.9968443
350	0.2004194	0.9772447	0.9998076	0.0000000	0.1440940	0.4686370	0.4891591	0.4204975	0.0620164	1.0289677
400	0.1510170	0.9496010	1.0280252	0.0007642	0.1783257	0.4800906	0.4925344	0.4289474	0.0689241	1.0044802
450	0.1608066	0.9822784	1.0573122	0.0027494	0.1767506	0.5205229	0.5511530	0.3635471	0.0397829	1.0711036
500	0.1193392	0.9293665	1.0454570	0.0005107	0.1418859	0.4756479	0.5369897	0.4139648	0.0569321	1.0464081
550	0.1603834	1.0132855	0.9996074	0.0056537	0.2750938	0.5427068	0.4887865	0.3720707	0.1922543	1.0407068
600	0.1927284	0.9535205	0.9623170	0.0035956	0.4894619	0.5209277	0.4709423	0.3884701	0.4533505	1.0191818
650	0.2459418	0.9994073	0.9288415	0.0145468	0.6151912	0.5266248	0.5569635	0.3598936	0.5110826	0.9653922
700	0.2765143	0.9482168	0.8823590	0.0167395	0.4940590	0.5415355	0.6020445	0.3763366	0.6519875	0.9737858
750	0.2623080	0.9522140	0.8322986	0.0355313	0.5199905	0.4713909	0.5835730	0.3765210	0.6389665	1.0731088
800	0.2865658	0.9783857	0.9555483	0.0221957	0.4719929	0.4935037	0.5249690	0.4221012	0.6125513	1.0591690
850	0.2746531	1.0615562	0.9545079	0.0177528	0.4779552	0.4888538	0.4957456	0.4244356	0.6184178	1.0689574
900	0.2152949	0.9634749	1.0097746	0.0184620	0.4536058	0.5075900	0.5529414	0.3777603	0.7140578	1.0878625
950	0.2353907	0.9179669	0.9477551	0.0148539	0.4658071	0.4708235	0.5395894	0.4251401	0.7398115	1.0741787
1000	0.2743788	1.0722808	0.8201790	0.0183048	0.5019954	0.4762818	0.6348744	0.3462942	0.7374968	1.0593186

0	0.2056242	1.1039552	1.1257863	0.0104747	0.5286506	0.5697073	0.5269512	0.4392992	0.6954606	0.9243886
50	0.2519340	0.9244716	0.9527469	0.0000046	0.5581924	0.3187629	0.5564238	0.3655681	0.6343040	1.0220549
100	0.2639827	0.9256369	1.0133882	0.0059988	0.5493413	0.1478829	0.7879268	0.3355393	0.4677167	0.9555474
150	0.2114177	0.9653107	0.9874247	0.0020608	0.5661445	0.0849058	0.8192042	0.3933027	0.3648754	0.8963565
200	0.2685839	1.0584948	0.8709992	0.0029651	0.5761815	0.0366792	0.8552958	0.3963732	0.3036506	0.8590426
250	0.2488131	1.1010955	0.8433471	0.0026403	0.6029837	0.0201107	0.8822204	0.4405719	0.2515657	0.9593678
300	0.2364379	1.0045772	0.8516758	0.0020559	0.4721335	0.0133409	0.8651776	0.4172170	0.2472721	0.9819474
350	0.2258879	0.9539253	0.9252254	0.0038540	0.5533788	0.0026963	0.8428250	0.4315111	0.2329775	0.9215691
400	0.2569642	0.9494347	0.9293488	0.0004527	0.5196258	0.0013106	0.8714573	0.3930226	0.3004344	0.9546547
450	0.2252051	1.0003439	0.9367542	0.0000000	0.5678125	0.0011113	0.7995700	0.3851674	0.2777945	0.8212510
500	0.2326885	1.0352682	0.9714240	0.0000000	0.6284058	0.0003625	0.8171247	0.3812003	0.3122490	0.8350721
550	0.2501038	0.8627420	0.9588108	0.0079258	0.6323090	0.1782490	0.7943848	0.4323529	0.4173584	0.9432221
600	0.2526867	1.0365312	0.8948818	0.0064525	0.5326593	0.2783084	0.6785362	0.3941060	0.5495954	0.9656103
650	0.1991390	0.9790590	0.9701056	0.0126018	0.5751794	0.4166106	0.6120686	0.3993948	0.6383627	0.9686719
700	0.2534641	1.0797924	1.0221537	0.0007595	0.5521101	0.4945904	0.5891829	0.3554972	0.6983954	0.9698944
750	0.2584969	1.0626369	1.0010773	0.0175559	0.5218613	0.4869523	0.5052324	0.3412038	0.6850175	0.9739697
800	0.2743769	0.9429374	0.9520392	0.0123500	0.5018263	0.5470510	0.5337750	0.3363752	0.7122300	1.0395326
850	0.2587034	1.0439032	0.9417762	0.0147457	0.4535262	0.4936820	0.5297259	0.3623441	0.7477253	0.9379774
900	0.2443609	1.1009963	0.9428634	0.0051974	0.6062608	0.5194293	0.5356674	0.3957043	0.7085475	1.0021808
950	0.2392044	1.1118138	0.9209147	0.0068003	0.6028603	0.5091855	0.5712259	0.3674810	0.7278725	1.0297416
1000	0.2420206	1.1946111	0.9545184	0.0035848	0.4289727	0.5445831	0.5241887	0.3281333	0.7849076	0.9817973
