"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
50	0.9998294	0.6150923	0.0231460	0.6571890	0.5405230	0.7567285	0.0130477	0.7109658	0.4215629	0.8867773	0.3011189	0.2900648	0.2326156	0.7568517	0.0144907	0.7112630
100	0.9334270	0.6273159	0.0044285	0.5572053	0.4839600	0.6976819	0.0037041	0.6918171	0.4760014	0.9347067	0.2869553	0.3363832	0.2581446	0.7588726	0.0101380	0.6276741
150	0.9032827	0.6296149	0.0063546	0.5493719	0.4974243	0.6688473	0.0122973	0.7271711	0.4255011	1.0430816	0.2511076	0.3077686	0.2505759	0.8488608	0.0040458	0.7134165
200	0.9535550	0.5955455	0.0108099	0.5260295	0.5333918	0.7223512	0.0185511	0.7432060	0.4364482	1.0220053	0.2393244	0.3719153	0.2855485	0.7792835	0.0010011	0.6521618
250	1.0726704	0.5360822	0.0077829	0.5886086	0.5294796	0.6865899	0.0120663	0.7170939	0.4391208	0.9864115	0.2268977	0.3483537	0.2752289	0.7455114	0.0008622	0.6577234
300	1.0223261	0.5758423	0.0093631	0.5132051	0.5141362	0.7236410	0.0000000	0.6650241	0.4614282	0.9485372	0.2688837	0.3446924	0.3021708	0.8042352	0.0007543	0.6743421
350	1.0204166	0.6248988	0.0101780	0.5953878	0.4891197	0.6996483	0.0028545	0.7253750	0.4862213	0.9938154	0.2587684	0.2881326	0.2696306	0.7980761	0.0025100	0.6947365
400	1.0231110	0.5805228	0.0139485	0.5445987	0.5202367	0.7402997	0.0090877	0.7300178	0.4225979	0.9096520	0.2687313	0.3320741	0.2498282	0.8790463	0.0006484	0.6503144
450	0.9761437	0.5471992	0.0075502	0.6538563	0.4492141	0.6910243	0.0009772	0.7407180	0.4619931	0.9214721	0.2479266	0.3547129	0.2086076	0.7808686	0.0004027	0.6807240
500	0.9237742	0.4992669	0.0018175	0.6413959	0.4625790	0.5848602	0.0012833	0.7077731	0.4398347	0.8963388	0.2828065	0.3986062	0.2377818	0.7624545	0.0001061	0.6857528
