"Time"	G4	G3	G2	G1	G12	G0	G11	G10	G9	G8	G7	G6	G5
750	0.1827721	0.1835624	0.2911627	0.5451943	0.2208585	0.6916259	0.3064786	0.0383934	0.0031671	0.4345568	0.0823790	0.1962067	0.6401263
800	0.2233738	0.1042891	0.1631916	0.6224250	0.3118371	0.5059177	0.3951162	0.0571844	0.0102681	0.4413322	0.1699899	0.2829086	0.5279982
850	0.2751192	0.0973926	0.1658086	0.6586132	0.3687284	0.4572450	0.3952936	0.0625866	0.0030828	0.2120825	0.1395958	0.2436621	0.6490524
900	0.2155947	0.1770073	0.1250637	0.6760265	0.3224045	0.4567599	0.3980701	0.0877151	0.0034472	0.4010303	0.1354547	0.2772116	0.5960721
950	0.2281353	0.1045529	0.1408675	0.5606860	0.4169033	0.5227075	0.3735064	0.0524308	0.0007388	0.3070317	0.1936228	0.3244965	0.6713770
1000	0.2531391	0.0902433	0.1252672	0.6042293	0.3632632	0.7029808	0.3512233	0.0512237	0.0014269	0.2799165	0.1806249	0.2694008	0.6709028

0	0.1719691	0.0657646	0.1022513	0.6298581	0.4106903	0.5486453	0.3703565	0.0744628	0.0003470	0.2859844	0.3674298	0.3287718	0.5200381
50	0.1889009	0.1080411	0.0682783	0.6411994	0.5543700	0.5769228	0.2527849	0.1139998	0.0020007	0.2998674	0.2748100	0.4420097	0.6241509
100	0.1810937	0.0832902	0.0801904	0.6236117	0.5690772	0.6986918	0.0969723	0.0987307	0.0024035	0.3213651	0.2508441	0.3401179	0.6452257
150	0.2233010	0.0898615	0.1110088	0.5498495	0.4744092	0.6866866	0.0616172	0.1254199	0.0004630	0.2909294	0.2331069	0.2988278	0.6391089
200	0.1721167	0.0935375	0.1239349	0.6440090	0.5130517	0.5994264	0.0507973	0.1962042	0.0021153	0.3360547	0.1865981	0.3541498	0.6085124
250	0.1589331	0.1021397	0.1701759	0.6361265	0.5260172	0.4440759	0.0266945	0.1139331	0.0009620	0.2669787	0.1362645	0.2872237	0.5893812
300	0.2039999	0.0801482	0.1335224	0.7484445	0.5178723	0.6019798	0.0664228	0.1171565	0.0012128	0.3660697	0.1643725	0.2465907	0.6335084
350	0.2242607	0.0807126	0.1102694	0.6272060	0.5580483	0.7196878	0.0314193	0.0626960	0.0066174	0.3343897	0.1820740	0.2927883	0.8270945
400	0.1877431	0.0586065	0.1030636	0.5515888	0.5778113	0.5968708	0.0476409	0.1051141	0.0007325	0.3471832	0.1609060	0.2621815	0.6379834
450	0.2434632	0.0871092	0.1184229	0.7172989	0.5787481	0.6459522	0.0382699	0.0917275	0.0078346	0.2929297	0.1779749	0.2551363	0.6788579
500	0.1947637	0.1054985	0.1877835	0.5809635	0.6871896	0.6761907	0.0566253	0.1301113	0.0049415	0.3004122	0.1409215	0.2672324	0.7003071
550	0.2147777	0.1494044	0.1436099	0.7120079	0.5202105	0.6218822	0.1974940	0.1220332	0.0028342	0.2584555	0.1980844	0.2646611	0.6662798
600	0.1691375	0.1113754	0.1018149	0.5927891	0.4495590	0.7336428	0.2910820	0.1183546	0.0020155	0.3154630	0.2968916	0.3328218	0.7200092
650	0.1745551	0.0739642	0.0955163	0.6623657	0.4329521	0.5418532	0.3304089	0.0587080	0.0004768	0.2015047	0.2680161	0.3210169	0.7231010
