"Time"	G4	G3	G14	G13	G1	G12	G0	G11	G10	G8	G7	G6	G5
850	0.1020642	0.0344838	0.0730781	0.3868164	0.0994034	0.7087155	0.7429820	0.1072311	0.3456616	0.1433380	0.3192607	0.4744711	0.1391599
900	0.0657816	0.0493725	0.1332398	0.4282038	0.0524973	0.6489736	0.8117865	0.1209527	0.3643989	0.1874480	0.3518641	0.5205897	0.1306673
950	0.0414521	0.0328947	0.0936807	0.5943281	0.0850427	0.7362469	0.8137394	0.1512311	0.3900401	0.2205651	0.4139180	0.4749209	0.1238549
1000	0.0616661	0.0329297	0.1266844	0.5366157	0.0670823	0.7623304	0.9314044	0.1822691	0.3723458	0.2643223	0.3576863	0.5105541	0.1910845

0	0.1470240	0.0245363	0.0824936	0.4388988	0.0831764	0.6924233	0.7225149	0.1508498	0.4872654	0.1493212	0.4079867	0.6611364	0.1530752
50	0.0473266	0.0300569	0.0006066	0.2913941	0.0366358	0.7417563	0.5953883	0.1518939	0.3889865	0.1881995	0.1268702	0.5175651	0.1381494
100	0.0703716	0.0322214	0.0000000	0.3000850	0.0311222	0.6611912	0.4836929	0.1549671	0.3742233	0.0941885	0.0471053	0.4454945	0.1573485
150	0.0853896	0.0859932	0.0006691	0.2486205	0.0433988	0.6485250	0.4551145	0.2268335	0.2403913	0.1446338	0.0656121	0.4843240	0.1623876
200	0.1748136	0.0351709	0.0000000	0.2324909	0.0309414	0.5585080	0.5582744	0.1439401	0.2767303	0.1817177	0.0577135	0.4022024	0.2786434
250	0.2268196	0.0159175	0.0004031	0.2950842	0.0469487	0.7334933	0.4787350	0.0830774	0.2503171	0.1000570	0.0978012	0.3755585	0.1357570
300	0.2921369	0.0236955	0.0002015	0.2784853	0.0799016	0.6671772	0.4451940	0.1183077	0.2329468	0.2121156	0.0934439	0.3234585	0.0753296
350	0.3155527	0.0248948	0.0002962	0.4959462	0.0823625	0.5547839	0.4921153	0.0687903	0.1977577	0.2230276	0.0761878	0.4028554	0.0666571
400	0.1716736	0.0235351	0.0050203	0.3251444	0.0745750	0.6075587	0.3551770	0.1510230	0.2492330	0.2441145	0.0867049	0.2533011	0.0675191
450	0.1568044	0.0355855	0.0001582	0.3707107	0.1060262	0.5896106	0.4852870	0.1580375	0.3335162	0.2462106	0.1541173	0.4321783	0.0675835
500	0.1186245	0.0331172	0.0003971	0.3692215	0.1428970	0.5898195	0.5501607	0.1384290	0.4447698	0.1709149	0.0442689	0.2865454	0.0947357
550	0.1172759	0.0635495	0.0748551	0.5145107	0.1610650	0.5383916	0.5290024	0.2493512	0.5527789	0.2963797	0.3635071	0.3658352	0.1223400
600	0.0930761	0.0306544	0.0856283	0.5987069	0.1705491	0.7679729	0.8236229	0.1559526	0.5828604	0.2081054	0.4037431	0.5310026	0.0944403
650	0.1047138	0.0383696	0.0966124	0.4514027	0.1205596	0.6563653	0.7829759	0.1267269	0.6575878	0.2424135	0.3915743	0.3848100	0.1522873
700	0.0858522	0.0361884	0.0740625	0.5928730	0.1451809	0.6612786	0.8201979	0.2767955	0.5802456	0.1257950	0.3502941	0.4181655	0.1248521
750	0.0460759	0.0463917	0.0855116	0.5404188	0.0889822	0.5754048	0.7769853	0.1486370	0.6215048	0.2914923	0.3062609	0.5288587	0.2418332
800	0.0423322	0.0413590	0.1086295	0.6350411	0.0635439	0.6689350	0.7467674	0.1631493	0.5844339	0.3231269	0.3461123	0.5419203	0.1617309
850	0.0426277	0.0260627	0.0680726	0.5063341	0.0963405	0.6406834	0.8404808	0.1731426	0.5815633	0.2285751	0.3988097	0.4468910	0.1376515
900	0.0699537	0.0297709	0.1158709	0.6017643	0.0852751	0.7568275	0.7727725	0.1101300	0.6867492	0.2292353	0.3138716	0.4072808	0.1935571
950	0.0335158	0.0632958	0.0565330	0.5595229	0.0565224	0.6857684	0.8316544	0.1680536	0.6291112	0.2249683	0.3607346	0.5123680	0.1974630
1000	0.0444177	0.0462692	0.0845917	0.5010151	0.1260682	0.7090492	0.7139302	0.1857124	0.5721276	0.1617157	0.3410960	0.5020745	0.1373898

0	0.0927701	0.0198131	0.0668872	0.5041909	0.1080251	0.7613536	0.6809136	0.1526505	0.3829818	0.1694379	0.3908477	0.4710920	0.1463265
50	0.0398637	0.0771853	0.0735853	0.5253428	0.0824141	0.8587215	0.7060757	0.0676486	0.6028616	0.1924933	0.3482071	0.5185075	0.1037578
100	0.0193692	0.0440020	0.1068994	0.4674545	0.1114960	0.8414899	0.7568732	0.0521471	0.3023070	0.1306948	0.3161625	0.4825898	0.1381924
150	0.0066859	0.0526409	0.0819982	0.5537544	0.1413278	0.6492293	0.8325459	0.0322320	0.2237145	0.1557975	0.3720160	0.5020156	0.1619828
200	0.0047824	0.0699487	0.0491017	0.5077895	0.0647670	0.7150420	0.8871986	0.0567409	0.3152206	0.1928753	0.4294676	0.5526463	0.1481201
250	0.0007590	0.0474641	0.1550685	0.4719543	0.0693580	0.7347123	0.8825030	0.0742521	0.2796680	0.2153873	0.3458885	0.6869309	0.1263497
300	0.0020502	0.0318709	0.0973594	0.5432137	0.0871099	0.7743585	0.7804863	0.0811408	0.2610913	0.1786795	0.2230874	0.6044272	0.1351562
350	0.0057128	0.0227932	0.0492238	0.5268513	0.0903748	0.7399925	0.7609663	0.0517195	0.2247241	0.1299603	0.2253226	0.5729134	0.1409635
400	0.0000000	0.0288034	0.1094132	0.3900882	0.1132257	0.7602654	0.7339295	0.1042462	0.2957864	0.1863282	0.2484491	0.5432918	0.2594195
450	0.0099137	0.0244608	0.0858642	0.6475601	0.1182974	0.7182998	0.6870136	0.0899270	0.3510094	0.1787816	0.3491480	0.5929054	0.1373085
