"Time"	G4	G3	G2	G1	G12	G0	G11	G10	G9	G8	G7	G6	G5
450	0.1739866	0.4263790	0.3022505	0.7519124	0.1732420	0.4731751	0.8363072	0.0422135	0.0045487	0.8902716	0.0589780	0.2042741	0.0869257
500	0.1707501	0.4263294	0.3108451	0.7607116	0.1623553	0.4726783	0.8375633	0.0412936	0.0046546	0.8921576	0.0589710	0.2026261	0.0869121
550	0.1659963	0.4087535	0.3093360	0.7872107	0.1626168	0.6150323	0.8186673	0.0408229	0.0041335	0.8800580	0.0591032	0.2019786	0.5291252
600	0.1584849	0.3419788	0.2840713	0.8469423	0.1980617	0.7881349	0.7359438	0.0416151	0.0024621	0.8013757	0.0606200	0.2023936	0.8447722
650	0.1669138	0.2662252	0.2438575	0.9017213	0.2573275	0.8950383	0.6564494	0.0462646	0.0012172	0.6854985	0.0647307	0.2055016	0.9544731
700	0.1955561	0.2128974	0.2121828	0.9363925	0.3249329	0.9505970	0.6111409	0.0554928	0.0005913	0.5889155	0.0748497	0.2143530	0.9872105
750	0.2323416	0.1825708	0.1949927	0.9548070	0.3959287	0.9773909	0.5898564	0.0671407	0.0003233	0.5274965	0.1002183	0.2357310	0.9964507
800	0.2647294	0.1670590	0.1872187	0.9636833	0.4626425	0.9898210	0.5804846	0.0782226	0.0002259	0.4935917	0.1461158	0.2779228	0.9989642
850	0.2878515	0.1595676	0.1839566	0.9677511	0.5172683	0.9954623	0.5764132	0.0868937	0.0002063	0.4763134	0.2022644	0.3365492	0.9995805
900	0.3023864	0.1560683	0.1826110	0.9695796	0.5570415	0.9979894	0.5746387	0.0927958	0.0002198	0.4679230	0.2525605	0.3951409	0.9996632
950	0.3108027	0.1544658	0.1820506	0.9704007	0.5835564	0.9991126	0.5738609	0.0964272	0.0002433	0.4639718	0.2889574	0.4415230	0.9996104
1000	0.3154097	0.1537401	0.1818130	0.9707719	0.6001191	0.9996092	0.5735187	0.0985016	0.0002655	0.4621486	0.3118960	0.4731548	0.9995420

0	0.3202464	0.1531039	0.1816261	0.9711325	0.6221525	1.0000000	0.5732493	0.1007873	0.0003133	0.4606431	0.3396503	0.5176798	0.9994168
50	0.3200527	0.1578549	0.1833743	0.9680856	0.6092972	0.7471571	0.4948524	0.0690891	0.1630301	0.4874987	0.2930010	0.5166935	0.9994173
100	0.3147645	0.1972486	0.1965149	0.9253960	0.5190404	0.4400013	0.3519129	0.0342067	0.3157554	0.6384460	0.1565571	0.4964618	0.9994324
150	0.3291774	0.3198435	0.2313631	0.7562754	0.3640387	0.2503407	0.4203995	0.0153153	0.4001909	0.8183357	0.0846737	0.4297365	0.9994784
200	0.4191203	0.5613182	0.3191215	0.5035594	0.2253397	0.1517785	0.5018790	0.0070888	0.4971622	0.9263648	0.0647024	0.3412541	0.9991543
250	0.4986498	0.7949870	0.5081399	0.3004013	0.1362217	0.1042470	0.5380261	0.0042906	0.5876451	0.9732994	0.0602182	0.2737543	0.9973457
300	0.5373794	0.9222463	0.6971310	0.1772650	0.0864110	0.0821968	0.5497216	0.0040606	0.6346314	0.9907620	0.0592449	0.2355105	0.9943876
350	0.5519189	0.9735610	0.8059146	0.1108339	0.0603995	0.0721895	0.5530500	0.0048694	0.6534997	0.9968073	0.0590274	0.2169621	0.9921005
400	0.5564482	0.9914814	0.8541922	0.0767706	0.0473676	0.0677066	0.5539654	0.0058705	0.6602808	0.9988555	0.0589759	0.2086963	0.9910353
450	0.5575605	0.9973141	0.8731757	0.0597405	0.0410111	0.0657143	0.5542253	0.0066859	0.6625912	0.9995569	0.0589624	0.2051812	0.9907332
500	0.5576969	0.9991484	0.8802104	0.0513448	0.0379646	0.0648333	0.5543054	0.0072335	0.6633566	0.9998025	0.0589584	0.2037218	0.9907291
550	0.5500296	0.9996414	0.8734017	0.0942045	0.0497685	0.3172877	0.5498548	0.0243480	0.4875304	0.9991630	0.0604086	0.2053394	0.9882310
600	0.4201229	0.9769542	0.8509145	0.3877035	0.1617784	0.6242727	0.4643574	0.0368998	0.2408743	0.9584981	0.1107784	0.2276731	0.9874327
650	0.2780983	0.7670038	0.8068630	0.6656213	0.3103438	0.8138581	0.3124969	0.0465932	0.0993332	0.8249150	0.1550604	0.2897961	0.9938058
700	0.2160333	0.4823951	0.6398589	0.8312667	0.3974223	0.9123874	0.2725085	0.0620532	0.0383489	0.6796181	0.1291858	0.3391510	0.9978432
750	0.2167742	0.3016797	0.4060247	0.9159699	0.4363076	0.9599044	0.4494857	0.0782651	0.0144532	0.5773986	0.1108247	0.3456505	0.9993268
800	0.2433496	0.2144462	0.2648635	0.9548372	0.4676828	0.9819483	0.5448919	0.0864384	0.0054604	0.5187015	0.1241568	0.3366923	0.9997691
850	0.2712513	0.1767530	0.2087331	0.9696612	0.5043626	0.9919528	0.5694057	0.0905146	0.0021451	0.4883415	0.1648262	0.3459253	0.9998522
900	0.2918189	0.1614597	0.1900389	0.9734332	0.5404544	0.9964344	0.5736984	0.0936238	0.0009397	0.4735220	0.2166689	0.3787050	0.9998018
950	0.3047362	0.1556677	0.1842149	0.9733743	0.5697150	0.9984262	0.5739218	0.0961836	0.0005096	0.4665324	0.2626611	0.4197202	0.9997046
1000	0.3121397	0.1536916	0.1824247	0.9725612	0.5904494	0.9993070	0.5736448	0.0980535	0.0003623	0.4633062	0.2954119	0.4552591	0.9996074

0	0.3202464	0.1531039	0.1816261	0.9711325	0.6221525	1.0000000	0.5732493	0.1007873	0.0003133	0.4606431	0.3396503	0.5176798	0.9994168
50	0.3202518	0.1531246	0.1816277	0.9711065	0.7200961	1.0000000	0.2960980	0.1041326	0.0003119	0.4606397	0.3396941	0.5177903	0.9994165
100	0.3202549	0.1531355	0.1816289	0.9710945	0.8232941	1.0000000	0.1251114	0.1229198	0.0003425	0.4606273	0.3397129	0.5178453	0.9994164
150	0.3202581	0.1531408	0.1816296	0.9710892	0.8785910	1.0000000	0.0765497	0.1472307	0.0004804	0.4606163	0.3397235	0.5178717	0.9994163
200	0.3202615	0.1531434	0.1816300	0.9710868	0.9039415	1.0000000	0.0651306	0.1647722	0.0007542	0.4606100	0.3397328	0.5178848	0.9994163
250	0.3202642	0.1531446	0.1816302	0.9710858	0.9148894	1.0000000	0.0626602	0.1744056	0.0010851	0.4606070	0.3397414	0.5178920	0.9994162
300	0.3202661	0.1531451	0.1816303	0.9710854	0.9194935	1.0000000	0.0621493	0.1789766	0.0013722	0.4606056	0.3397485	0.5178968	0.9994162
350	0.3202673	0.1531453	0.1816304	0.9710852	0.9214055	1.0000000	0.0620464	0.1809634	0.0015716	0.4606050	0.3397535	0.5179003	0.9994162
400	0.3202679	0.1531455	0.1816304	0.9710851	0.9221948	1.0000000	0.0620261	0.1817794	0.0016905	0.4606048	0.3397567	0.5179028	0.9994162
450	0.3202683	0.1531455	0.1816304	0.9710851	0.9225196	1.0000000	0.0620221	0.1821018	0.0017544	0.4606047	0.3397585	0.5179046	0.9994161
500	0.3202684	0.1531455	0.1816304	0.9710850	0.9226531	1.0000000	0.0620213	0.1822257	0.0017862	0.4606046	0.3397595	0.5179057	0.9994161
550	0.3202685	0.1531455	0.1816304	0.9710850	0.8248172	1.0000000	0.3391726	0.1766058	0.0017908	0.4606053	0.3397600	0.5179064	0.9994161
600	0.3202683	0.1531455	0.1816304	0.9710850	0.7216692	1.0000000	0.5101591	0.1529907	0.0016248	0.4606102	0.3397601	0.5179068	0.9994161
650	0.3202673	0.1531455	0.1816304	0.9710850	0.6663941	1.0000000	0.5587208	0.1292474	0.0012405	0.4606189	0.3397592	0.5179069	0.9994161
700	0.3202654	0.1531455	0.1816304	0.9710850	0.6410526	1.0000000	0.5701400	0.1143008	0.0008585	0.4606279	0.3397563	0.5179067	0.9994162
750	0.3202629	0.1531455	0.1816304	0.9710850	0.6301078	1.0000000	0.5726103	0.1066686	0.0005977	0.4606346	0.3397511	0.5179058	0.9994162
800	0.3202605	0.1531455	0.1816304	0.9710850	0.6255041	1.0000000	0.5731212	0.1031976	0.0004500	0.4606387	0.3397447	0.5179043	0.9994162
850	0.3202586	0.1531455	0.1816304	0.9710850	0.6235912	1.0000000	0.5732241	0.1017286	0.0003747	0.4606410	0.3397386	0.5179022	0.9994162
900	0.3202573	0.1531455	0.1816304	0.9710850	0.6228008	1.0000000	0.5732445	0.1011359	0.0003385	0.4606421	0.3397337	0.5179000	0.9994162
950	0.3202565	0.1531455	0.1816304	0.9710850	0.6224748	1.0000000	0.5732485	0.1009044	0.0003219	0.4606426	0.3397302	0.5178980	0.9994163
