"Time"	G4	G3	G2	G1	G12	G0	G11	G10	G9	G8	G7	G6	G5
450	0.1856751	0.4553748	0.3705650	0.7184981	0.1671820	0.4750683	0.7619954	0.0299256	0.0077337	0.8397227	0.0742864	0.2075790	0.0891408
500	0.1755368	0.4519358	0.3531569	0.7907585	0.1350736	0.5054641	0.7515652	0.0307670	0.0041031	0.8273344	0.0700359	0.1800957	0.0878022
550	0.1242833	0.4172645	0.2949365	0.7898748	0.1976513	0.6697509	0.8187234	0.0394328	0.0043447	0.8551053	0.0686531	0.2676350	0.5191750
600	0.1470547	0.3907306	0.2420320	0.9256165	0.1871925	0.7889298	0.7403725	0.0224738	0.0012870	0.7770890	0.0638650	0.2518561	0.9161578
650	0.1471083	0.2549061	0.2762851	0.9151826	0.3230440	0.9647269	0.7678926	0.0480186	0.0013795	0.6883482	0.0755265	0.2482428	1.0796770
700	0.1916208	0.1886575	0.2284574	0.9998121	0.3618683	1.0228325	0.6661657	0.0447302	0.0037014	0.5275661	0.0834287	0.2533823	1.0022283
750	0.2451951	0.1886448	0.2034043	1.0379161	0.4006897	0.9809824	0.5779711	0.0630673	0.0005055	0.5318387	0.1214872	0.2416558	0.9690466
800	0.2072261	0.1619565	0.1891554	0.9590544	0.4702644	1.0381256	0.5837813	0.0737738	0.0011221	0.4713988	0.1392827	0.2885484	0.9769879
850	0.2910887	0.1423366	0.1496390	0.9525036	0.5942708	1.0860995	0.6059346	0.0832023	0.0029375	0.4135098	0.1572427	0.3135300	1.0651443
900	0.3228242	0.1475037	0.2355535	0.8635949	0.6347970	0.9912907	0.4468613	0.1013763	0.0033227	0.3720650	0.4533374	0.3535369	1.0770644
950	0.3079850	0.1531785	0.1831994	0.9603089	0.5705567	0.9739119	0.4964076	0.1249891	0.0046830	0.4551130	0.2957170	0.4532827	0.9996169
1000	0.3126081	0.1911023	0.1805893	0.8079512	0.5376969	1.0195489	0.6550145	0.1154993	0.0071428	0.5253226	0.3135162	0.5607819	0.9983501

0	0.3733158	0.1178535	0.1619800	0.9785411	0.7252006	1.0143694	0.6307295	0.0913271	0.0011528	0.4668029	0.4866856	0.5481668	0.8698960
50	0.3122302	0.1596920	0.1615630	0.9435234	0.6340090	0.7418407	0.4183852	0.0620565	0.1851550	0.4240395	0.3021838	0.5421955	0.9416654
100	0.3520452	0.2417498	0.2114264	0.9177973	0.5629585	0.4396549	0.3458738	0.0340847	0.2869650	0.6009914	0.1474904	0.4523379	1.0111484
150	0.3736286	0.3399509	0.2075637	0.7085995	0.3618234	0.2413891	0.4054814	0.0119748	0.3492275	0.7364437	0.0636774	0.3390981	0.9479627
200	0.4227218	0.6127947	0.3639684	0.4634519	0.2311451	0.1698690	0.4870962	0.0096205	0.4600860	0.9989171	0.0345112	0.2214120	0.9460336
250	0.5547189	0.8747739	0.5120467	0.2483075	0.1435661	0.0841391	0.5406200	0.0075260	0.6172914	1.0047321	0.0779421	0.2303892	0.9552349
300	0.5758973	0.9019874	0.8306094	0.1428654	0.0900136	0.0742867	0.5355738	0.0066422	0.6373000	1.0045036	0.0776543	0.2324900	1.0253412
350	0.5860251	0.9591902	0.8966144	0.0849082	0.0571425	0.0565574	0.5591892	0.0045168	0.6349753	1.0220451	0.0515699	0.2147921	1.0695856
400	0.5089529	0.8780416	0.8435625	0.0526826	0.0563657	0.0452322	0.5298910	0.0038540	0.6259768	1.0130134	0.0495881	0.2143977	0.9496127
450	0.5795722	0.9687806	0.9161446	0.0538504	0.0395891	0.0649376	0.5897457	0.0149916	0.6557399	0.9915424	0.0782395	0.1900568	0.9107089
500	0.5682857	0.9786253	0.8121289	0.0515557	0.0187512	0.0918106	0.5380435	0.0068851	0.6176229	1.0138411	0.0819198	0.1813724	0.9982209
