"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
850	1.0028093	0.6543502	0.0537004	0.6529239	0.4871474	0.7164797	0.0099789	0.7453661	0.4425094	0.5089746	0.2496829	0.2267351	0.2338417	0.7439164	0.0291588	0.8108766
900	0.9940998	0.6128983	0.0756772	0.6212219	0.4706504	0.6296498	0.0140306	0.7289479	0.4308220	0.5294126	0.2262997	0.2699840	0.2194545	0.7723968	0.0190873	0.8288651
950	1.1198838	0.5654876	0.0705110	0.6124107	0.4094049	0.7185483	0.0078857	0.7434170	0.4848280	0.4841725	0.1661497	0.2787702	0.2189024	0.8335177	0.0123951	0.8192739
1000	1.0355957	0.6475325	0.0523438	0.6616571	0.4726765	0.6547901	0.0090638	0.7516702	0.4948471	0.5258909	0.2273629	0.2848583	0.2619768	0.7742823	0.0258537	0.8274687

0	1.1065283	0.6800728	0.0676586	0.6544446	0.5187240	0.7041243	0.0105147	0.7551853	0.5379660	0.6999586	0.3023378	0.3219205	0.2709590	0.7671139	0.0378501	0.6663179
50	0.9568061	0.6073880	0.0533139	0.6219369	0.6248130	0.6909648	0.0167596	0.6257146	0.4307398	0.5329378	0.3075103	0.3314054	0.1721185	0.7426651	0.0500643	0.7157904
100	0.9245521	0.6104146	0.0582655	0.5469426	0.4718605	0.6585271	0.0204131	0.5785885	0.4614407	0.5134519	0.3257033	0.3639969	0.0946827	0.7560684	0.0603814	0.6710163
150	1.0309369	0.6410040	0.0677371	0.6652571	0.4612357	0.6508942	0.0093576	0.6139630	0.5203560	0.4992285	0.2777880	0.4046636	0.0418736	0.8045036	0.1034893	0.5370105
200	0.9799358	0.6210016	0.0845181	0.5369106	0.5007240	0.6483568	0.0012263	0.6376644	0.4949815	0.6112984	0.2555223	0.4742153	0.0080823	0.7701461	0.2289753	0.4555847
250	1.0641226	0.5864962	0.0895756	0.5694227	0.4520927	0.6244988	0.0047007	0.7293556	0.4594675	0.5826735	0.2525605	0.4682696	0.0053448	0.5362955	0.3628780	0.4531223
300	1.0609926	0.6618038	0.0854698	0.5821713	0.5626195	0.6455479	0.0085612	0.7219843	0.4679452	0.5376658	0.2544505	0.4507435	0.0069421	0.4853562	0.3881247	0.4457407
350	1.1264549	0.6031737	0.0398502	0.6926306	0.5883072	0.6857671	0.0114885	0.6106127	0.4207485	0.5740949	0.2830059	0.4305372	0.0024658	0.4435124	0.5207773	0.4448081
400	1.0801959	0.6407031	0.0402837	0.6398699	0.4373446	0.7079566	0.0183143	0.6298477	0.4200256	0.6228448	0.2603384	0.3756317	0.0052403	0.4147293	0.5670023	0.4560555
450	1.0734834	0.7241843	0.0570249	0.5982319	0.4850755	0.6425923	0.0224240	0.7514686	0.4351418	0.6172760	0.2768729	0.3938970	0.0034661	0.4030089	0.4751667	0.4286857
500	1.0549437	0.6583164	0.0640503	0.5861361	0.5025469	0.6245992	0.0135087	0.7222711	0.4198955	0.5605870	0.2520748	0.4286517	0.0043833	0.4223733	0.4740114	0.3777798
550	1.0316645	0.6470225	0.0483245	0.5645226	0.4702601	0.7250353	0.0250891	0.7085536	0.4571680	0.5558982	0.2703389	0.4315682	0.0920461	0.3639155	0.5127961	0.4651424
600	0.9492265	0.5846532	0.0589368	0.5987451	0.4707464	0.7398530	0.0066308	0.8237627	0.4972446	0.6111708	0.2737335	0.3415671	0.1743483	0.3215686	0.2755582	0.6751869
650	0.9966316	0.6653209	0.0368480	0.5580972	0.4851526	0.7018701	0.0026214	0.8177876	0.4954255	0.5399035	0.2393440	0.3423019	0.2210293	0.4035357	0.1095999	0.8500920
700	0.9720121	0.6038712	0.0711709	0.5865776	0.5078028	0.6976051	0.0155300	0.7609767	0.4745137	0.5800475	0.2337492	0.3386029	0.2102180	0.6134566	0.0891084	0.8720033
750	0.9538781	0.6012002	0.0625582	0.6101901	0.5102618	0.6437552	0.0090200	0.7538497	0.4218920	0.6158678	0.2562675	0.3016664	0.2011774	0.7112271	0.0552171	0.8361433
800	1.1573954	0.5839373	0.0823063	0.5800949	0.4495188	0.6660502	0.0287681	0.7517140	0.3902185	0.6124962	0.2414950	0.2730849	0.2339956	0.7800677	0.0395358	0.8033337
850	1.0569923	0.7125864	0.0874225	0.5792208	0.4723978	0.6684783	0.0111157	0.7466664	0.3739628	0.6614488	0.2152983	0.2745088	0.2472910	0.7411208	0.0167943	0.8098012
900	1.1361800	0.6776372	0.0831014	0.5539777	0.5099435	0.7019799	0.0054452	0.8342678	0.4012500	0.6124140	0.2911853	0.3187812	0.2888714	0.7673097	0.0229728	0.7643586
950	1.1274518	0.6381025	0.0787693	0.5558877	0.4851434	0.7183868	0.0124131	0.7748334	0.4310627	0.5510269	0.2406048	0.2456688	0.2786607	0.7412618	0.0210661	0.7379764
1000	1.1108358	0.7038430	0.0606838	0.5209545	0.5156806	0.6899999	0.0214731	0.7225506	0.3797390	0.5865564	0.2930135	0.1940260	0.2123148	0.7372660	0.0190226	0.7906043

0	1.1065283	0.6800728	0.0676586	0.6544446	0.5187240	0.7041243	0.0105147	0.7551853	0.5379660	0.6999586	0.3023378	0.3219205	0.2709590	0.7671139	0.0378501	0.6663179
50	1.0696471	0.7618815	0.0750485	0.5285913	0.5212807	0.7196700	0.0095027	0.7205430	0.3604704	0.6109756	0.2561707	0.3757173	0.2572094	0.7954169	0.0198845	0.6977846
100	1.0874774	0.9250615	0.0817175	0.3841609	0.4831766	0.7673207	0.0196593	0.7643282	0.1627904	0.5779968	0.2563645	0.2713283	0.2430900	0.7603605	0.0143075	0.6806208
150	1.0591721	0.8910260	0.0909675	0.3429712	0.3075884	0.6863249	0.0093518	0.7221000	0.1076983	0.5952107	0.2734442	0.2240472	0.2526056	0.7589112	0.0116228	0.7760015
200	0.9769909	0.9957358	0.1088767	0.2938062	0.1892325	0.7404723	0.0036730	0.7235133	0.0669560	0.5559595	0.3187068	0.2009413	0.2407664	0.7422590	0.0085660	0.7055182
250	0.9105860	1.0405925	0.0991268	0.2663225	0.1313490	0.7787986	0.0002758	0.7098860	0.0582958	0.5870690	0.3007015	0.1575756	0.1942428	0.7848367	0.0013467	0.8159762
300	0.9079676	0.9000914	0.1211988	0.2147466	0.1363949	0.7402158	0.0003235	0.7498151	0.0597312	0.5116964	0.3079790	0.1934836	0.1301616	0.7712289	0.0017475	0.6859295
350	0.9886084	1.0043604	0.1689280	0.2785063	0.1350705	0.7537279	0.0003082	0.8121649	0.0695394	0.5501179	0.2612274	0.1825596	0.1126792	0.7974767	0.0005060	0.6601507
400	0.9381407	0.9698162	0.1803322	0.2650132	0.1279134	0.7417308	0.0001320	0.7934764	0.0583898	0.5247092	0.3083753	0.1862254	0.1261255	0.8858263	0.0052788	0.6225225
450	1.0279699	0.9125379	0.1484809	0.2614450	0.1531955	0.6415158	0.0011360	0.8011239	0.0618707	0.5027757	0.3045692	0.1822946	0.1213169	0.9387254	0.0114529	0.6393976
500	0.9556370	0.9660117	0.1233332	0.2798774	0.1616493	0.7532892	0.0036510	0.7809285	0.0394498	0.4704779	0.2548903	0.2094068	0.0960736	0.8923056	0.0124373	0.7516919
550	0.9555329	0.9218736	0.0810834	0.3060786	0.1268003	0.7442839	0.0004277	0.7319242	0.1869949	0.4274064	0.2180276	0.2193166	0.0910127	0.8854488	0.0280484	0.5618038
600	1.0030111	0.7499243	0.0949996	0.3675732	0.2066916	0.6158580	0.0022297	0.8222356	0.3521069	0.4403127	0.2678310	0.1792327	0.1041912	0.9376503	0.0533418	0.5249495
650	1.0743239	0.7929047	0.0934951	0.4304619	0.3763710	0.6024854	0.0007215	0.7714471	0.3825913	0.5247361	0.2368822	0.1956268	0.1439383	0.8838493	0.0736755	0.5873814
700	0.9526677	0.7260233	0.0841882	0.5031138	0.4390295	0.6361400	0.0019324	0.7731445	0.4676211	0.5687955	0.3051025	0.2291511	0.1903317	0.9009594	0.0866996	0.6658771
750	1.0543102	0.7042612	0.1004485	0.5102305	0.4294616	0.7171837	0.0000000	0.8181290	0.4670088	0.5282731	0.2246845	0.2585592	0.2136021	0.8352110	0.0633565	0.6496551
800	1.0486631	0.6062170	0.1073021	0.5730132	0.5121876	0.6963372	0.0232122	0.8047199	0.4250446	0.5338562	0.2537857	0.2298359	0.2552552	0.8066972	0.0439435	0.6305065
850	1.0018121	0.5821467	0.0882587	0.6111125	0.4643684	0.6929410	0.0005050	0.7686299	0.4209461	0.5459460	0.3076667	0.2178600	0.2746194	0.7601196	0.0299186	0.6676072
900	1.1786318	0.5999905	0.0943765	0.5961220	0.4800459	0.6261144	0.0011218	0.7056050	0.4289680	0.6043123	0.3305596	0.2539151	0.2569073	0.6789190	0.0443035	0.6804677
950	1.1347667	0.6444895	0.0620740	0.6457243	0.5021190	0.5636499	0.0101172	0.6962112	0.4469634	0.5581887	0.2657385	0.2725454	0.2230748	0.6664131	0.0536656	0.8388935
1000	0.9699936	0.6101652	0.0438719	0.5329957	0.4781707	0.6465292	0.0089773	0.6709544	0.4998131	0.6087707	0.2468124	0.2815858	0.2595703	0.6978733	0.0386797	0.7389552

0	1.1065283	0.6800728	0.0676586	0.6544446	0.5187240	0.7041243	0.0105147	0.7551853	0.5379660	0.6999586	0.3023378	0.3219205	0.2709590	0.7671139	0.0378501	0.6663179
50	0.7933782	0.6009914	0.0477253	0.5447681	0.5578223	0.9281966	0.0342059	0.7126927	0.4995112	0.5812139	0.2674556	0.3424188	0.3169024	0.7562583	0.0331780	0.7516910
100	0.5931151	0.5547242	0.0576603	0.5244511	0.5749457	0.9423387	0.0158806	0.7695384	0.5457240	0.6015289	0.2129118	0.4999208	0.3807969	0.7999360	0.0234462	0.7059665
150	0.4554256	0.4854121	0.0800645	0.5288429	0.4925172	0.9338549	0.0170494	0.6849224	0.5878914	0.5414191	0.1874367	0.6200318	0.3808789	0.8344527	0.0602338	0.6902341
200	0.4094972	0.3478451	0.1168558	0.4716501	0.5352027	1.0027081	0.0059989	0.5106013	0.7333104	0.5724279	0.2273759	0.7079552	0.5064377	0.8969031	0.0456564	0.7081882
250	0.3589324	0.2176261	0.1847061	0.5175291	0.4895574	0.9294020	0.0139466	0.4723119	0.6746545	0.5242129	0.2459978	0.7094027	0.4821919	0.8593767	0.0446210	0.6875153
300	0.4501062	0.2304085	0.2305784	0.5701967	0.4374842	0.8842091	0.0131202	0.3427504	0.6883124	0.5303236	0.2471517	0.6522973	0.5673388	0.8264068	0.0459365	0.6854073
350	0.4441966	0.2098829	0.2257140	0.5996704	0.5370788	0.8378356	0.0037072	0.3451614	0.7254421	0.5524951	0.2847851	0.6918515	0.5036225	0.7538573	0.0429794	0.7742024
400	0.3846238	0.2019501	0.2557328	0.5919674	0.5316719	0.9209328	0.0095264	0.3958135	0.7608310	0.5195028	0.2132772	0.7194505	0.5272737	0.7134350	0.0623413	0.7711035
450	0.4285935	0.1722607	0.2030725	0.5227921	0.4430013	0.9612553	0.0038301	0.3974374	0.7273099	0.5391079	0.2589345	0.7562681	0.4963775	0.8242725	0.0420082	0.7651917
500	0.3631236	0.1926837	0.1812736	0.5194540	0.4275376	1.0228274	0.0046398	0.3782653	0.7720414	0.5943439	0.2947462	0.8457883	0.4880747	0.8993990	0.0581202	0.6875336
550	0.6115072	0.1760208	0.1913313	0.5219890	0.3923622	0.8089352	0.0030651	0.4438907	0.7438226	0.5812801	0.3280199	0.7980744	0.4265459	0.9837446	0.0181737	0.6747028
600	0.8321251	0.2685269	0.1916477	0.6062437	0.4453013	0.8055655	0.0015812	0.6065737	0.7053416	0.5683081	0.3271772	0.6717366	0.3281848	0.8902954	0.0267238	0.6881389
650	0.8439805	0.3895644	0.1417755	0.6851336	0.4414391	0.7956447	0.0083895	0.6190075	0.6286808	0.5477049	0.3091227	0.5715777	0.3101373	0.8719397	0.0336986	0.7761063
700	0.9787130	0.4109789	0.1147629	0.7405696	0.4428669	0.6267672	0.0054322	0.7100948	0.5304300	0.4988344	0.2584847	0.4623855	0.2920454	0.7799440	0.0126727	0.7864123
750	0.9196928	0.4838880	0.0768292	0.6834579	0.4916391	0.6645597	0.0023921	0.7661923	0.5033194	0.5876641	0.2646438	0.4102058	0.2734588	0.8091150	0.0356855	0.7347467
800	0.9670474	0.4851195	0.0618742	0.6926439	0.5181351	0.6914906	0.0042125	0.7405038	0.4638437	0.5904651	0.2709084	0.3756087	0.2447750	0.7553041	0.0320100	0.7534562
850	1.0422654	0.4991949	0.0499562	0.6600482	0.5649112	0.6674720	0.0299511	0.7124220	0.5181700	0.6747022	0.2674878	0.3909230	0.2586404	0.8503199	0.0354060	0.8022224
900	1.0902212	0.6155800	0.0488956	0.6625398	0.5713783	0.7086691	0.0298435	0.7230608	0.4999860	0.5952670	0.3339708	0.3406930	0.2627051	0.7361401	0.0226374	0.7726618
950	1.0437819	0.7072839	0.0544168	0.6911646	0.5763566	0.6792610	0.0181986	0.7470538	0.4350131	0.5621720	0.2479087	0.3221475	0.2116837	0.7954900	0.0291445	0.6886907
1000	1.0726782	0.7041407	0.0529007	0.5917957	0.5054343	0.7802539	0.0284961	0.6717913	0.3610243	0.5184640	0.2342153	0.2613557	0.2334398	0.7338440	0.0355130	0.6424686

0	1.1065283	0.6800728	0.0676586	0.6544446	0.5187240	0.7041243	0.0105147	0.7551853	0.5379660	0.6999586	0.3023378	0.3219205	0.2709590	0.7671139	0.0378501	0.6663179
50	0.9868327	0.6924357	0.0561512	0.5750413	0.5802267	0.6700136	0.0096335	0.8063020	0.4983463	0.6793872	0.2092785	0.2466396	0.2501351	0.8097640	0.0288768	0.5822886
100	0.9292312	0.5563256	0.0506074	0.5224332	0.5658529	0.7632432	0.0211167	0.9075003	0.4769742	0.7346555	0.1519486	0.3340959	0.2685721	0.7107544	0.0092030	0.5439461
150	0.8139441	0.5337215	0.0607618	0.6045235	0.5391745	0.7180293	0.0064091	0.8956601	0.4952288	0.8277370	0.1086088	0.3189448	0.3055443	0.7269432	0.0002219	0.4573930
200	0.9881172	0.5291350	0.0636916	0.6276999	0.4955418	0.7070364	0.0052886	0.8748853	0.5082833	0.8120227	0.1140987	0.4071915	0.2829030	0.7383728	0.0091430	0.4412290
250	0.9187875	0.5622119	0.0503021	0.5627819	0.5535012	0.7094716	0.0132609	0.8540944	0.5735560	0.8266427	0.0876206	0.3597246	0.2500059	0.7000966	0.0063984	0.4715808
300	0.7870555	0.5271807	0.0496096	0.5403201	0.5245234	0.6569420	0.0260941	0.9181821	0.5202834	0.8185136	0.1296539	0.4156205	0.2551264	0.7262687	0.0013048	0.4258128
350	0.8685779	0.4734521	0.1144691	0.5903406	0.5991139	0.6627088	0.0144266	0.8360841	0.5896793	0.8205724	0.1442724	0.4368760	0.2582485	0.7634672	0.0003848	0.3928938
400	0.9444041	0.5331783	0.0857038	0.6616779	0.5981746	0.6706940	0.0276146	0.8536486	0.5556799	0.7830893	0.1034016	0.4619895	0.3110938	0.7587553	0.0033952	0.4738902
450	0.9918919	0.6474817	0.0604886	0.5515722	0.6745992	0.6237934	0.0209275	0.9094787	0.5137549	0.8111325	0.1127343	0.4687942	0.2713371	0.6529523	0.0025460	0.5151252
500	0.9684500	0.5346777	0.0535862	0.6335570	0.7254054	0.7133860	0.0254390	0.8605551	0.4996204	0.7449534	0.0953771	0.4025170	0.2830718	0.6877152	0.0001843	0.4047215
550	0.8566816	0.6286870	0.0566934	0.5987773	0.6621243	0.7247515	0.0272115	0.8082485	0.5099527	0.7101501	0.2138818	0.3193728	0.2828335	0.6851572	0.0570882	0.6020683
600	0.9750960	0.5625440	0.0496568	0.6450887	0.6485834	0.6915475	0.0224989	0.7722551	0.4934526	0.5662997	0.2301844	0.3553869	0.2795069	0.6981437	0.0534512	0.6511638
650	1.0116184	0.6150888	0.0693213	0.6189606	0.5098030	0.6530738	0.0331501	0.6759846	0.5417569	0.5870328	0.2874064	0.3163565	0.2703307	0.8095689	0.0268658	0.7347235
700	1.0391097	0.5742809	0.0557909	0.6621065	0.4948691	0.7126187	0.0116585	0.7312538	0.4816825	0.5829407	0.2802692	0.3057047	0.2308667	0.7617111	0.0266407	0.7588609
