"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
650	1.0000000	0.6044294	0.0544427	0.6163779	0.4888853	0.6728114	0.0081510	0.7648963	0.4646500	0.6413703	0.2689776	0.3386247	0.2578042	0.7591347	0.0286471	0.7346349
700	1.0000000	0.6039741	0.0589834	0.6165718	0.4888853	0.6728114	0.0081510	0.7648963	0.4646500	0.6000150	0.2691743	0.3149618	0.2578042	0.7566184	0.0300071	0.7407179
750	1.0000000	0.6035742	0.0608382	0.6168640	0.4888853	0.6728114	0.0081510	0.7648963	0.4646500	0.5810185	0.2694643	0.2980183	0.2578042	0.7551173	0.0301318	0.7435872
800	1.0000000	0.6033083	0.0615427	0.6171654	0.4888853	0.6728114	0.0081510	0.7648963	0.4646500	0.5725646	0.2697878	0.2876661	0.2578042	0.7544848	0.0299628	0.7449803
850	1.0000000	0.6031604	0.0617867	0.6174072	0.4888853	0.6728114	0.0081510	0.7648963	0.4646500	0.5688635	0.2700781	0.2819434	0.2578042	0.7543146	0.0297903	0.7456493
900	1.0000000	0.6030881	0.0618577	0.6175698	0.4888853	0.6728114	0.0081510	0.7648963	0.4646500	0.5672575	0.2702979	0.2789849	0.2578042	0.7543237	0.0296731	0.7459531
950	1.0000000	0.6030563	0.0618695	0.6176655	0.4888853	0.6728114	0.0081510	0.7648963	0.4646500	0.5665642	0.2704442	0.2775256	0.2578042	0.7543770	0.0296049	0.7460781
1000	1.0000000	0.6030439	0.0618648	0.6177162	0.4888853	0.6728114	0.0081510	0.7648963	0.4646500	0.5662659	0.2705323	0.2768296	0.2578042	0.7544258	0.0295690	0.7461214

0	1.0000000	0.6030566	0.0618306	0.6177147	0.4888843	0.6728174	0.0081519	0.7648556	0.4646461	0.5660401	0.2706334	0.2762322	0.2578110	0.7545620	0.0295179	0.7460929
50	1.0000000	0.6030468	0.0618441	0.6177330	0.4889005	0.6728135	0.0081512	0.7413220	0.4654496	0.5660410	0.2704833	0.3228179	0.1699510	0.7635495	0.0300057	0.7435458
100	1.0000000	0.6030423	0.0618479	0.6177449	0.4891982	0.6728212	0.0081550	0.7150071	0.4686326	0.5660409	0.2699001	0.3724646	0.0824339	0.8183965	0.0378390	0.7203124
150	1.0000000	0.6030404	0.0618483	0.6177515	0.4899831	0.6728816	0.0081795	0.7002011	0.4715961	0.5660396	0.2693364	0.3989961	0.0375704	0.8817055	0.0835041	0.6556672
200	1.0000000	0.6030396	0.0618478	0.6177548	0.4909262	0.6730259	0.0082340	0.6930583	0.4732855	0.5660377	0.2689881	0.4110691	0.0175619	0.8424531	0.1821916	0.5532783
250	1.0000000	0.6030394	0.0618473	0.6177564	0.4916952	0.6732242	0.0083038	0.6896906	0.4740710	0.5660360	0.2688097	0.4162510	0.0090494	0.6846954	0.2930717	0.4533811
300	1.0000000	0.6030394	0.0618469	0.6177571	0.4921995	0.6734201	0.0083681	0.6880344	0.4744019	0.5660346	0.2687264	0.4184213	0.0054930	0.5340410	0.3979247	0.3944845
350	1.0000000	0.6030394	0.0618467	0.6177573	0.4924886	0.6735764	0.0084162	0.6871677	0.4745341	0.5660338	0.2686894	0.4193189	0.0040182	0.4389979	0.4831467	0.3773432
400	1.0000000	0.6030394	0.0618466	0.6177574	0.4926402	0.6736840	0.0084472	0.6866927	0.4745853	0.5660333	0.2686735	0.4196868	0.0034085	0.3885673	0.5348680	0.3820032
450	1.0000000	0.6030394	0.0618465	0.6177574	0.4927150	0.6737505	0.0084653	0.6864278	0.4746048	0.5660330	0.2686668	0.4198364	0.0031568	0.3643190	0.5549620	0.3922425
500	1.0000000	0.6030394	0.0618465	0.6177574	0.4927503	0.6737884	0.0084750	0.6862808	0.4746122	0.5660329	0.2686640	0.4198967	0.0030529	0.3537144	0.5557952	0.4009772
550	1.0000000	0.6030394	0.0618465	0.6177574	0.4927663	0.6738088	0.0084800	0.7097084	0.4745946	0.5660328	0.2686875	0.3735003	0.0911245	0.3477890	0.5180286	0.4681888
