"Time"	G4	G3	G2	G1	G12	G0	G11	G10	G9	G8	G7	G6	G5
200	0.5095551	0.8600358	0.4922612	0.2758692	0.1384073	0.0584014	0.6033902	0.0018575	0.5944129	1.0480470	0.0523662	0.2000216	0.9002389
250	0.5453190	0.9440061	0.6237692	0.1528081	0.0809011	0.0490345	0.4681907	0.0035875	0.7277543	0.9981103	0.0723659	0.2256333	0.9588009
300	0.5591270	1.0465399	0.8351347	0.1040116	0.0875335	0.0580466	0.5817674	0.0043400	0.6928852	1.0002137	0.0583321	0.2553934	0.9667716
350	0.5359222	0.9355642	0.7958712	0.0632615	0.0410425	0.0604723	0.5606451	0.0076064	0.6481980	1.0710963	0.0576897	0.2003632	1.0666825
400	0.5285460	1.0206167	0.8330700	0.0457932	0.0290785	0.0609575	0.6043262	0.0148951	0.6685084	0.9260593	0.0588883	0.2341686	1.0464914
450	0.6019880	0.9001223	0.8738170	0.0391598	0.0315293	0.0702318	0.5315257	0.0098659	0.6069242	1.0346855	0.0597995	0.2198801	0.9781788
500	0.5659731	1.1521910	0.8464600	0.0387176	0.0416487	0.0882957	0.5932767	0.0114874	0.5901167	1.0336941	0.0628345	0.2139929	0.9925738
550	0.4686506	1.0109927	0.8357479	0.2899530	0.1350987	0.7295442	0.5080832	0.0391036	0.2924984	1.0043616	0.0772179	0.2247594	0.9973590
600	0.2609381	0.8874006	0.8544308	0.6278688	0.3759750	0.8952018	0.3066089	0.0394101	0.0869876	0.8942930	0.1522999	0.2577293	1.0212098
650	0.1936057	0.5084485	0.8490252	0.7929682	0.4098414	0.9682843	0.2581372	0.0489494	0.0270453	0.6953316	0.1312769	0.3186146	1.0143935
700	0.2155094	0.3272528	0.5970673	0.9001547	0.3493129	0.9622346	0.4924207	0.0691391	0.0074400	0.5314414	0.0781624	0.2543620	1.0918285
750	0.2473556	0.1912427	0.2962668	0.9555852	0.4540570	0.9567580	0.5998332	0.0629236	0.0099683	0.5310363	0.1840833	0.2722847	0.9795329
800	0.3480675	0.1968779	0.2513253	0.9421269	0.5830225	0.8991623	0.5722526	0.0880893	0.0035165	0.5534130	0.2426690	0.4176167	1.0297936
850	0.3296430	0.1849535	0.1971332	0.9510508	0.5715498	0.9296354	0.5939324	0.0951754	0.0001746	0.5305171	0.2746595	0.4731198	0.9987326
900	0.3141084	0.1729977	0.2010965	0.9543166	0.5757713	0.9759930	0.6023821	0.1161065	0.0010698	0.5943330	0.2353902	0.4303694	0.9907098
950	0.3482453	0.1925008	0.2042767	1.0037220	0.5991106	0.9700027	0.5728536	0.1013787	0.0024605	0.5643013	0.2267081	0.4900940	0.9060226
1000	0.3261798	0.1691616	0.1836310	1.0258826	0.6042864	1.0518015	0.6024057	0.0902635	0.0007553	0.5075246	0.2662375	0.4921516	0.9700862

0	0.3671702	0.1567551	0.1908953	0.9914347	0.6672774	1.0367745	0.5593458	0.1114243	0.0022840	0.4718951	0.3977996	0.5863825	0.9588504
50	0.3956985	0.1458127	0.1892728	0.9813571	0.8734897	0.9337748	0.1313026	0.1192968	0.0013389	0.4581760	0.4852917	0.6018533	1.0272653
100	0.3569600	0.1157877	0.1645127	1.0037101	0.7974931	0.9428954	0.0798359	0.1355611	0.0027017	0.4332892	0.3659561	0.5361117	0.9621741
150	0.3401937	0.1776865	0.1756811	0.9503621	0.9339449	1.0274574	0.0512992	0.1455291	0.0009268	0.5455605	0.3805739	0.4841931	0.9454929
200	0.2546048	0.1334417	0.2004961	1.0152159	0.9813300	0.9525332	0.0563975	0.1600525	0.0006613	0.5058918	0.2459853	0.4765330	0.9225017
250	0.3121653	0.1581896	0.1953661	1.0146834	0.8897867	1.0323689	0.0795537	0.1702692	0.0031526	0.5216231	0.1555720	0.5028874	0.9565297
300	0.3097725	0.1610120	0.1691425	1.0396986	0.8668839	1.0145421	0.0867949	0.1903542	0.0022166	0.5282682	0.3535953	0.4224784	0.9804503
350	0.2901613	0.1266631	0.1847655	1.0926488	0.9428579	0.9412802	0.0547507	0.1608369	0.0017286	0.4559418	0.3313185	0.4855729	0.9601276
400	0.3150496	0.1438801	0.2055715	0.9625930	0.9788164	1.0044227	0.0814760	0.1558661	0.0006627	0.5273634	0.1779114	0.4787766	1.0589782
450	0.2976740	0.1755007	0.1844200	0.9610577	0.9385009	0.9978124	0.0825220	0.1671398	0.0017931	0.4609223	0.2939129	0.4224039	1.0357076
500	0.3246523	0.1828611	0.2254321	0.9865147	0.9462799	0.9988161	0.0747222	0.1825365	0.0020248	0.4897133	0.2040898	0.4556473	0.9907877
550	0.3380034	0.1610142	0.1996507	1.0152736	0.6435692	0.9640961	0.4570548	0.1671318	0.0021023	0.4766890	0.3409137	0.3975441	0.9968641
600	0.3612250	0.1707784	0.1527543	1.0421565	0.6594295	1.0118371	0.5556619	0.1117453	0.0039730	0.4494601	0.4202462	0.5311784	1.0454686
650	0.3760348	0.1453544	0.1983296	0.9875048	0.7003170	0.9935092	0.5316625	0.1080890	0.0007992	0.4672710	0.3992506	0.4745042	1.0043900
700	0.4014969	0.1455667	0.1808452	0.9910030	0.5978936	1.0289446	0.5141654	0.1127471	0.0002746	0.4904846	0.3855177	0.5457818	1.0799140
750	0.3525940	0.1600070	0.2001075	0.9841050	0.6063306	1.1238371	0.5352424	0.1200887	0.0034448	0.5343709	0.3618740	0.5417965	1.0286744
800	0.3285586	0.1410678	0.1825503	0.9069705	0.5827219	1.0182698	0.5024615	0.1364340	0.0010282	0.4102946	0.4277417	0.5166106	1.0345142
850	0.2835311	0.1434273	0.1928029	0.9369635	0.6016664	0.9416142	0.5508274	0.1177415	0.0003181	0.4685359	0.4141217	0.5222477	1.0153970
900	0.2717891	0.1669940	0.1576101	0.9545319	0.6403417	0.9149712	0.6165162	0.1170159	0.0031286	0.4355121	0.4813512	0.4811129	0.9956245
950	0.2985517	0.1850856	0.1829535	0.9906631	0.5910464	0.9650464	0.6744623	0.1321496	0.0026187	0.4935580	0.2622310	0.5806768	0.9265399
1000	0.2802059	0.1411437	0.1814354	0.9662227	0.5364466	0.9926209	0.6651607	0.0689440	0.0029838	0.4779919	0.1943310	0.4700857	0.9416274

0	0.3671702	0.1567551	0.1908953	0.9914347	0.6672774	1.0367745	0.5593458	0.1114243	0.0022840	0.4718951	0.3977996	0.5863825	0.9588504
50	0.3006194	0.1446226	0.1851928	0.9785280	0.6533757	1.0896192	0.5376541	0.0976273	0.0009963	0.4672168	0.3660554	0.5556430	0.9484296
100	0.3246457	0.1787227	0.1752141	0.9704852	0.5719534	1.0634972	0.5485085	0.1128546	0.0018426	0.4029939	0.3179598	0.5184401	1.0579438
150	0.3456481	0.1430041	0.1990178	0.9046568	0.6415109	1.0558753	0.5822418	0.1147115	0.0006706	0.3782150	0.3894203	0.4817996	0.9850310
200	0.3669998	0.1176553	0.1866446	0.9427368	0.7691560	1.0477154	0.5564112	0.1240671	0.0000000	0.3929579	0.5473298	0.5208720	1.0373328
250	0.3373964	0.1208391	0.1846451	0.9888946	0.6610200	1.0199148	0.6186075	0.1350016	0.0004570	0.4516877	0.4320215	0.5907972	1.0008674
300	0.3387057	0.1440518	0.2015267	0.9739476	0.6812251	1.0185671	0.5768233	0.0985915	0.0025587	0.4303172	0.3520628	0.5860432	0.9457670
350	0.2682873	0.1407255	0.1611073	1.0067775	0.6202054	1.0417528	0.5733672	0.0946448	0.0016259	0.3817051	0.3641571	0.5939616	0.9622578
400	0.3349732	0.1273918	0.1691124	0.9683557	0.6032799	1.0051644	0.5616527	0.1143687	0.0001412	0.4313299	0.3112800	0.5233778	0.9699523
450	0.3219049	0.1618771	0.1578685	0.9476721	0.5897631	1.0642249	0.5080463	0.1058189	0.0000478	0.4473929	0.2622055	0.5064220	1.0010459
500	0.3097110	0.1143015	0.1604009	0.9551975	0.5450542	1.1397980	0.5329514	0.0901349	0.0001901	0.4062592	0.4595927	0.4650764	1.0254355
550	0.2903507	0.1244103	0.1652268	1.0031596	0.7458909	1.1992669	0.5531199	0.1045249	0.0001006	0.3701915	0.5302354	0.4847529	0.9700944
600	0.3290311	0.1507496	0.1619755	0.9984096	0.7394984	0.9900652	0.5810077	0.1471343	0.0016813	0.3829427	0.4372828	0.5784058	0.9696360
650	0.3803357	0.1287355	0.1710769	0.9429067	0.5813422	1.0233908	0.6064016	0.1299832	0.0015061	0.4653512	0.3333400	0.5695361	1.0205259
700	0.2777882	0.1470432	0.1568458	0.9736729	0.6461449	0.9993468	0.5491242	0.1205820	0.0006812	0.5130331	0.4526538	0.5649126	1.0045888
750	0.2707076	0.1380364	0.1744006	0.9251261	0.6262135	0.9369044	0.6088515	0.1003338	0.0000797	0.4551524	0.3678150	0.5683536	0.9914786
800	0.2616762	0.1625861	0.1893285	0.9251382	0.6082077	0.9469833	0.5123115	0.0598865	0.0003524	0.4208124	0.2920747	0.6000869	1.0445023
850	0.2934752	0.1618995	0.1777008	0.9429101	0.6189525	0.9584809	0.6204345	0.0902358	0.0010815	0.4865044	0.1944732	0.5372242	0.9222860
900	0.2855240	0.1532483	0.1933551	0.9747964	0.5508761	0.9139852	0.6900986	0.0883565	0.0003022	0.5137944	0.1306152	0.4319744	0.9085917
950	0.2860981	0.1338520	0.1836300	1.0244440	0.5318855	0.9861029	0.5424162	0.0882315	0.0005236	0.5395844	0.1971623	0.4531543	0.9300335
1000	0.2852074	0.1363598	0.2005761	0.9834774	0.5987541	1.0232502	0.5971993	0.0930674	0.0000391	0.5436745	0.2809065	0.4833075	0.9911241

0	0.3671702	0.1567551	0.1908953	0.9914347	0.6672774	1.0367745	0.5593458	0.1114243	0.0022840	0.4718951	0.3977996	0.5863825	0.9588504
50	0.3451244	0.0875026	0.1461916	0.9834177	0.5840986	0.6520971	0.5903254	0.0232614	0.0007838	0.4099946	0.2936972	0.5672861	1.0397524
100	0.3790241	0.1145203	0.1789884	0.9294829	0.4959133	0.6346749	0.6224705	0.0069804	0.0002807	0.5607313	0.1242787	0.5447468	0.9914938
